timestamp,cluster_id,namespace,pod_name,cpu_requested,cpu_actual_peak,memory_requested,memory_actual_peak
2024-01-03,cluster-prod-1,dev-testing,dev-pod-1,4.0,2.376,2.0,0.524
2024-01-03,cluster-dev-1,dev-testing,dev-pod-2,0.5,0.227,0.5,0.196
2024-01-03,cluster-dev-1,dev-testing,dev-pod-3,1.5,0.575,4.0,3.1
2024-01-03,cluster-dev-1,staging,stage-pod-1,2.0,0.726,4.0,3.08
2024-01-03,cluster-prod-1,staging,stage-pod-2,1.0,0.529,8.0,2.04
2024-01-03,cluster-prod-1,logging,log-pod-1,2.0,1.107,4.0,3.071
2024-01-03,cluster-dev-1,logging,log-pod-2,4.0,2.834,1.0,0.235
2024-01-03,cluster-prod-2,monitoring,monitor-pod-1,1.0,0.415,8.0,3.284
2024-01-03,cluster-prod-1,monitoring,monitor-pod-2,2.0,1.126,1.0,0.571
2024-01-04,cluster-prod-2,payment-service,pay-pod-1,4.0,1.134,0.5,0.347
2024-01-04,cluster-prod-1,payment-service,pay-pod-2,1.0,0.199,8.0,2.719
2024-01-04,cluster-prod-1,payment-service,pay-pod-3,0.5,0.339,0.5,0.384
2024-01-04,cluster-prod-1,user-auth,auth-pod-1,4.0,2.408,4.0,1.0
2024-01-04,cluster-dev-1,user-auth,auth-pod-2,2.0,0.97,2.0,0.698
2024-01-04,cluster-prod-2,product-catalog,catalog-pod-1,1.5,0.453,1.0,0.481
2024-01-04,cluster-dev-1,product-catalog,catalog-pod-2,2.0,0.443,8.0,5.549
2024-01-04,cluster-dev-1,product-catalog,catalog-pod-3,0.5,0.279,4.0,3.109
2024-01-04,cluster-prod-2,order-management,order-pod-1,2.0,0.643,0.5,0.167
2024-01-04,cluster-prod-1,order-management,order-pod-2,1.0,0.157,8.0,1.807
2024-01-04,cluster-dev-1,inventory,inv-pod-1,4.0,2.983,8.0,2.814
2024-01-04,cluster-dev-1,inventory,inv-pod-2,2.0,0.391,0.5,0.165
2024-01-04,cluster-prod-1,inventory,inv-pod-3,0.5,0.263,2.0,1.481
2024-01-04,cluster-prod-1,notification-service,notif-pod-1,1.5,0.478,4.0,1.056
2024-01-04,cluster-prod-2,notification-service,notif-pod-2,1.0,0.263,1.0,0.433
2024-01-04,cluster-dev-1,analytics,analytics-pod-1,2.0,0.393,0.5,0.178
2024-01-04,cluster-prod-1,analytics,analytics-pod-2,0.5,0.159,8.0,5.506
2024-01-04,cluster-dev-1,reporting,report-pod-1,4.0,2.786,8.0,6.115
2024-01-04,cluster-prod-2,reporting,report-pod-2,4.0,2.072,1.0,0.25
2024-01-04,cluster-prod-1,ml-pipeline,ml-pod-1,1.0,0.481,8.0,1.727
2024-01-04,cluster-prod-2,ml-pipeline,ml-pod-2,0.5,0.219,0.5,0.213
2024-01-04,cluster-prod-1,ml-pipeline,ml-pod-3,0.5,0.366,2.0,1.083
2024-01-04,cluster-dev-1,data-ingestion,ingest-pod-1,1.0,0.172,0.5,0.104
2024-01-04,cluster-prod-1,data-ingestion,ingest-pod-2,2.0,1.275,8.0,6.384
2024-01-04,cluster-prod-1,dev-testing,dev-pod-1,4.0,2.343,1.0,0.71
2024-01-04,cluster-prod-1,dev-testing,dev-pod-2,4.0,1.681,0.5,0.386
2024-01-04,cluster-prod-2,dev-testing,dev-pod-3,2.0,0.574,0.5,0.327
2024-01-04,cluster-prod-2,staging,stage-pod-1,2.0,0.622,1.0,0.499
2024-01-04,cluster-prod-1,staging,stage-pod-2,1.5,0.693,4.0,2.759
2024-01-04,cluster-prod-2,logging,log-pod-1,1.5,0.588,8.0,4.577
2024-01-04,cluster-prod-2,logging,log-pod-2,1.5,0.417,4.0,3.153
2024-01-04,cluster-prod-2,monitoring,monitor-pod-1,1.0,0.532,2.0,0.509
2024-01-04,cluster-prod-2,monitoring,monitor-pod-2,2.0,0.957,0.5,0.335
2024-01-05,cluster-prod-2,payment-service,pay-pod-1,1.0,0.667,8.0,5.423
2024-01-05,cluster-prod-1,payment-service,pay-pod-2,0.5,0.223,4.0,0.959
2024-01-05,cluster-dev-1,payment-service,pay-pod-3,1.0,0.522,1.0,0.397
2024-01-05,cluster-dev-1,user-auth,auth-pod-1,1.5,0.441,2.0,1.045
2024-01-05,cluster-prod-1,user-auth,auth-pod-2,1.5,0.35,4.0,1.237
2024-01-05,cluster-prod-2,product-catalog,catalog-pod-1,1.5,1.012,2.0,1.201
2024-01-05,cluster-prod-2,product-catalog,catalog-pod-2,4.0,1.061,2.0,1.386
2024-01-05,cluster-prod-1,product-catalog,catalog-pod-3,2.0,0.717,8.0,4.234
2024-01-05,cluster-prod-2,order-management,order-pod-1,0.5,0.182,1.0,0.277
2024-01-05,cluster-prod-1,order-management,order-pod-2,4.0,1.372,1.0,0.68
2024-01-05,cluster-prod-1,inventory,inv-pod-1,1.5,1.054,8.0,1.612
2024-01-05,cluster-dev-1,inventory,inv-pod-2,0.5,0.254,4.0,1.302
2024-01-05,cluster-prod-2,inventory,inv-pod-3,1.0,0.606,1.0,0.648
2024-01-05,cluster-prod-2,notification-service,notif-pod-1,1.5,0.452,2.0,1.474
2024-01-05,cluster-prod-2,notification-service,notif-pod-2,1.5,0.704,8.0,5.763
2024-01-05,cluster-prod-2,analytics,analytics-pod-1,1.5,0.582,0.5,0.321
2024-01-05,cluster-prod-1,analytics,analytics-pod-2,0.5,0.327,1.0,0.521
2024-01-05,cluster-dev-1,reporting,report-pod-1,0.5,0.178,0.5,0.304
2024-01-05,cluster-prod-2,reporting,report-pod-2,0.5,0.225,4.0,2.089
2024-01-05,cluster-prod-2,ml-pipeline,ml-pod-1,0.5,0.244,1.0,0.37
2024-01-05,cluster-dev-1,ml-pipeline,ml-pod-2,2.0,1.075,1.0,0.347
2024-01-05,cluster-prod-2,ml-pipeline,ml-pod-3,4.0,1.393,0.5,0.171
2024-01-05,cluster-prod-2,data-ingestion,ingest-pod-1,4.0,0.967,4.0,2.842
2024-01-05,cluster-prod-1,data-ingestion,ingest-pod-2,0.5,0.099,2.0,0.422
2024-01-05,cluster-dev-1,dev-testing,dev-pod-1,2.0,1.497,1.0,0.546
2024-01-05,cluster-prod-2,dev-testing,dev-pod-2,2.0,0.306,0.5,0.247
2024-01-05,cluster-prod-2,dev-testing,dev-pod-3,1.5,0.964,1.0,0.534
2024-01-05,cluster-prod-2,staging,stage-pod-1,1.5,0.98,8.0,2.498
2024-01-05,cluster-dev-1,staging,stage-pod-2,2.0,0.811,0.5,0.321
2024-01-05,cluster-dev-1,logging,log-pod-1,0.5,0.258,8.0,4.029
2024-01-05,cluster-prod-2,logging,log-pod-2,2.0,0.685,2.0,0.462
2024-01-05,cluster-prod-1,monitoring,monitor-pod-1,1.0,0.479,1.0,0.794
2024-01-05,cluster-prod-1,monitoring,monitor-pod-2,1.0,0.203,8.0,1.613
2024-01-06,cluster-prod-1,payment-service,pay-pod-1,1.5,0.651,2.0,0.819
2024-01-06,cluster-prod-1,payment-service,pay-pod-2,4.0,2.593,4.0,1.78
2024-01-06,cluster-prod-1,payment-service,pay-pod-3,1.5,1.07,4.0,1.71
2024-01-06,cluster-prod-2,user-auth,auth-pod-1,2.0,1.31,2.0,1.354
2024-01-06,cluster-dev-1,user-auth,auth-pod-2,2.0,0.496,8.0,2.495
2024-01-06,cluster-prod-2,product-catalog,catalog-pod-1,1.5,0.795,4.0,1.559
2024-01-06,cluster-prod-1,product-catalog,catalog-pod-2,0.5,0.28,2.0,1.149
2024-01-06,cluster-prod-2,product-catalog,catalog-pod-3,0.5,0.145,0.5,0.217
2024-01-06,cluster-prod-2,order-management,order-pod-1,4.0,2.776,2.0,1.051
2024-01-06,cluster-dev-1,order-management,order-pod-2,1.5,0.79,1.0,0.284
2024-01-06,cluster-prod-2,inventory,inv-pod-1,4.0,1.789,2.0,1.346
2024-01-06,cluster-prod-1,inventory,inv-pod-2,0.5,0.169,8.0,5.337
2024-01-06,cluster-prod-2,inventory,inv-pod-3,2.0,0.984,1.0,0.496
2024-01-06,cluster-prod-1,notification-service,notif-pod-1,0.5,0.106,8.0,2.131
2024-01-06,cluster-prod-1,notification-service,notif-pod-2,2.0,0.777,8.0,4.191
2024-01-06,cluster-dev-1,analytics,analytics-pod-1,2.0,1.167,1.0,0.207
2024-01-06,cluster-prod-1,analytics,analytics-pod-2,1.5,0.734,1.0,0.351
2024-01-06,cluster-prod-2,reporting,report-pod-1,2.0,0.518,1.0,0.406
2024-01-06,cluster-prod-2,reporting,report-pod-2,1.0,0.718,4.0,2.988
2024-01-06,cluster-prod-1,ml-pipeline,ml-pod-1,1.0,0.517,4.0,2.223
2024-01-06,cluster-dev-1,ml-pipeline,ml-pod-2,4.0,2.297,1.0,0.663
2024-01-06,cluster-prod-1,ml-pipeline,ml-pod-3,1.0,0.191,2.0,1.284
2024-01-06,cluster-prod-2,data-ingestion,ingest-pod-1,1.5,0.631,8.0,6.327
2024-01-06,cluster-prod-2,data-ingestion,ingest-pod-2,2.0,0.45,0.5,0.2
2024-01-06,cluster-prod-1,dev-testing,dev-pod-1,1.5,0.757,8.0,3.421
2024-01-06,cluster-prod-1,dev-testing,dev-pod-2,0.5,0.137,0.5,0.101
2024-01-06,cluster-prod-2,dev-testing,dev-pod-3,1.5,0.583,0.5,0.359
2024-01-06,cluster-prod-1,staging,stage-pod-1,1.0,0.429,2.0,1.285
2024-01-06,cluster-prod-1,staging,stage-pod-2,1.5,0.255,2.0,0.569
2024-01-06,cluster-dev-1,logging,log-pod-1,2.0,0.803,0.5,0.209
2024-01-06,cluster-prod-1,logging,log-pod-2,1.5,0.794,4.0,1.31
2024-01-06,cluster-prod-2,monitoring,monitor-pod-1,0.5,0.363,0.5,0.267
2024-01-06,cluster-prod-1,monitoring,monitor-pod-2,2.0,0.942,0.5,0.19
2024-01-07,cluster-prod-2,payment-service,pay-pod-1,1.5,0.414,2.0,0.819
2024-01-07,cluster-dev-1,payment-service,pay-pod-2,4.0,2.1,8.0,3.866
2024-01-07,cluster-prod-2,payment-service,pay-pod-3,1.0,0.326,2.0,0.944
2024-01-07,cluster-prod-1,user-auth,auth-pod-1,2.0,0.877,2.0,0.586
2024-01-07,cluster-prod-2,user-auth,auth-pod-2,4.0,0.781,2.0,0.848
2024-01-07,cluster-dev-1,product-catalog,catalog-pod-1,1.5,0.805,4.0,2.722
2024-01-07,cluster-prod-1,product-catalog,catalog-pod-2,2.0,1.308,8.0,3.558
2024-01-07,cluster-prod-2,product-catalog,catalog-pod-3,1.5,0.433,2.0,1.007
2024-01-07,cluster-dev-1,order-management,order-pod-1,0.5,0.315,2.0,1.465
2024-01-07,cluster-prod-1,order-management,order-pod-2,1.0,0.633,2.0,1.555
2024-01-07,cluster-dev-1,inventory,inv-pod-1,4.0,1.575,1.0,0.208
2024-01-07,cluster-dev-1,inventory,inv-pod-2,0.5,0.137,2.0,0.547
2024-01-07,cluster-dev-1,inventory,inv-pod-3,2.0,1.072,1.0,0.736
2024-01-07,cluster-dev-1,notification-service,notif-pod-1,4.0,1.42,1.0,0.695
2024-01-07,cluster-prod-2,notification-service,notif-pod-2,2.0,1.297,8.0,3.565
2024-01-07,cluster-prod-2,analytics,analytics-pod-1,0.5,0.206,4.0,1.327
2024-01-07,cluster-dev-1,analytics,analytics-pod-2,2.0,0.468,1.0,0.539
2024-01-07,cluster-prod-2,reporting,report-pod-1,0.5,0.22,0.5,0.181
2024-01-07,cluster-dev-1,reporting,report-pod-2,4.0,1.566,0.5,0.142
2024-01-07,cluster-dev-1,ml-pipeline,ml-pod-1,2.0,0.459,8.0,2.424
2024-01-07,cluster-prod-2,ml-pipeline,ml-pod-2,4.0,0.644,1.0,0.518
2024-01-07,cluster-prod-1,ml-pipeline,ml-pod-3,2.0,0.898,1.0,0.533
2024-01-07,cluster-prod-1,data-ingestion,ingest-pod-1,1.0,0.582,8.0,1.653
2024-01-07,cluster-prod-1,data-ingestion,ingest-pod-2,1.5,1.035,2.0,1.117
2024-01-07,cluster-prod-2,dev-testing,dev-pod-1,0.5,0.223,1.0,0.749
2024-01-07,cluster-prod-2,dev-testing,dev-pod-2,4.0,1.52,1.0,0.453
2024-01-07,cluster-dev-1,dev-testing,dev-pod-3,2.0,1.45,0.5,0.125
2024-01-07,cluster-prod-1,staging,stage-pod-1,1.0,0.191,2.0,0.746
2024-01-07,cluster-dev-1,staging,stage-pod-2,1.5,0.492,2.0,1.539
2024-01-07,cluster-dev-1,logging,log-pod-1,4.0,1.761,1.0,0.219
2024-01-07,cluster-prod-1,logging,log-pod-2,1.5,0.982,0.5,0.249
2024-01-07,cluster-prod-1,monitoring,monitor-pod-1,1.5,0.526,1.0,0.485
2024-01-07,cluster-dev-1,monitoring,monitor-pod-2,0.5,0.18,0.5,0.249
2024-01-08,cluster-prod-1,payment-service,pay-pod-1,1.0,0.426,2.0,1.383
2024-01-08,cluster-prod-1,payment-service,pay-pod-2,2.0,1.134,1.0,0.262
2024-01-08,cluster-prod-2,payment-service,pay-pod-3,2.0,1.269,0.5,0.141
2024-01-08,cluster-dev-1,user-auth,auth-pod-1,0.5,0.209,4.0,2.101
2024-01-08,cluster-prod-2,user-auth,auth-pod-2,4.0,2.422,8.0,4.923
2024-01-08,cluster-prod-2,product-catalog,catalog-pod-1,0.5,0.346,4.0,1.331
2024-01-08,cluster-prod-1,product-catalog,catalog-pod-2,0.5,0.358,1.0,0.553
2024-01-08,cluster-dev-1,product-catalog,catalog-pod-3,1.0,0.491,1.0,0.388
2024-01-08,cluster-prod-2,order-management,order-pod-1,4.0,2.354,2.0,1.509
2024-01-08,cluster-dev-1,order-management,order-pod-2,1.5,1.075,1.0,0.647
2024-01-08,cluster-prod-2,inventory,inv-pod-1,1.5,0.512,1.0,0.587
2024-01-08,cluster-prod-1,inventory,inv-pod-2,1.5,0.73,8.0,1.969
2024-01-08,cluster-prod-1,inventory,inv-pod-3,1.5,0.531,4.0,2.174
2024-01-08,cluster-prod-1,notification-service,notif-pod-1,2.0,1.249,0.5,0.321
2024-01-08,cluster-prod-2,notification-service,notif-pod-2,4.0,2.078,1.0,0.215
2024-01-08,cluster-dev-1,analytics,analytics-pod-1,1.0,0.163,8.0,4.139
2024-01-08,cluster-prod-1,analytics,analytics-pod-2,1.5,1.123,4.0,0.926
2024-01-08,cluster-dev-1,reporting,report-pod-1,4.0,0.69,4.0,2.306
2024-01-08,cluster-prod-1,reporting,report-pod-2,0.5,0.305,0.5,0.201
2024-01-08,cluster-prod-2,ml-pipeline,ml-pod-1,0.5,0.147,2.0,0.961
2024-01-08,cluster-prod-1,ml-pipeline,ml-pod-2,1.0,0.328,8.0,1.802
2024-01-08,cluster-prod-1,ml-pipeline,ml-pod-3,4.0,2.971,0.5,0.133
2024-01-08,cluster-prod-1,data-ingestion,ingest-pod-1,2.0,0.562,1.0,0.679
2024-01-08,cluster-prod-2,data-ingestion,ingest-pod-2,1.5,0.755,2.0,1.484
2024-01-08,cluster-prod-1,dev-testing,dev-pod-1,0.5,0.298,4.0,1.356
2024-01-08,cluster-prod-1,dev-testing,dev-pod-2,4.0,2.594,1.0,0.228
2024-01-08,cluster-prod-2,dev-testing,dev-pod-3,1.0,0.172,1.0,0.668
2024-01-08,cluster-prod-2,staging,stage-pod-1,4.0,0.739,0.5,0.255
2024-01-08,cluster-prod-2,staging,stage-pod-2,0.5,0.127,1.0,0.509
2024-01-08,cluster-prod-1,logging,log-pod-1,0.5,0.121,2.0,0.669
2024-01-08,cluster-prod-1,logging,log-pod-2,0.5,0.253,8.0,2.039
2024-01-08,cluster-prod-1,monitoring,monitor-pod-1,1.5,0.471,8.0,5.866
2024-01-08,cluster-prod-1,monitoring,monitor-pod-2,1.0,0.667,0.5,0.199
2024-01-09,cluster-dev-1,payment-service,pay-pod-1,4.0,2.365,1.0,0.445
2024-01-09,cluster-prod-1,payment-service,pay-pod-2,1.5,0.876,1.0,0.52
2024-01-09,cluster-prod-1,payment-service,pay-pod-3,2.0,0.431,4.0,0.983
2024-01-09,cluster-dev-1,user-auth,auth-pod-1,1.0,0.447,8.0,5.951
2024-01-09,cluster-prod-2,user-auth,auth-pod-2,1.0,0.476,8.0,2.882
2024-01-09,cluster-dev-1,product-catalog,catalog-pod-1,1.5,1.006,4.0,2.841
2024-01-09,cluster-prod-2,product-catalog,catalog-pod-2,0.5,0.175,8.0,4.948
2024-01-09,cluster-dev-1,product-catalog,catalog-pod-3,2.0,1.042,4.0,1.181
2024-01-09,cluster-prod-2,order-management,order-pod-1,4.0,2.692,2.0,1.455
2024-01-09,cluster-dev-1,order-management,order-pod-2,1.0,0.642,8.0,5.169
2024-01-09,cluster-dev-1,inventory,inv-pod-1,1.0,0.641,8.0,4.036
2024-01-09,cluster-prod-1,inventory,inv-pod-2,1.0,0.322,2.0,1.577
2024-01-09,cluster-prod-2,inventory,inv-pod-3,1.0,0.53,8.0,5.343
2024-01-09,cluster-prod-2,notification-service,notif-pod-1,1.5,0.91,1.0,0.459
2024-01-09,cluster-prod-2,notification-service,notif-pod-2,2.0,1.059,8.0,2.092
2024-01-09,cluster-prod-1,analytics,analytics-pod-1,2.0,0.661,0.5,0.331
2024-01-09,cluster-prod-2,analytics,analytics-pod-2,1.0,0.434,1.0,0.245
2024-01-09,cluster-dev-1,reporting,report-pod-1,1.0,0.744,8.0,3.741
2024-01-09,cluster-dev-1,reporting,report-pod-2,1.5,0.76,4.0,0.859
2024-01-09,cluster-dev-1,ml-pipeline,ml-pod-1,0.5,0.172,2.0,0.703
2024-01-09,cluster-prod-1,ml-pipeline,ml-pod-2,1.0,0.245,1.0,0.798
2024-01-09,cluster-prod-2,ml-pipeline,ml-pod-3,1.5,0.631,8.0,4.93
2024-01-09,cluster-prod-2,data-ingestion,ingest-pod-1,2.0,1.085,2.0,1.442
2024-01-09,cluster-prod-1,data-ingestion,ingest-pod-2,2.0,0.338,8.0,6.129
2024-01-09,cluster-dev-1,dev-testing,dev-pod-1,1.5,1.093,2.0,0.729
2024-01-09,cluster-prod-2,dev-testing,dev-pod-2,1.5,0.593,4.0,2.539
2024-01-09,cluster-prod-2,dev-testing,dev-pod-3,4.0,1.081,0.5,0.296
2024-01-09,cluster-prod-1,staging,stage-pod-1,2.0,0.868,4.0,1.245
2024-01-09,cluster-dev-1,staging,stage-pod-2,4.0,2.464,2.0,1.414
2024-01-09,cluster-prod-2,logging,log-pod-1,1.5,0.942,4.0,0.878
2024-01-09,cluster-dev-1,logging,log-pod-2,1.5,0.392,0.5,0.1
2024-01-09,cluster-prod-2,monitoring,monitor-pod-1,0.5,0.257,4.0,1.833
2024-01-09,cluster-dev-1,monitoring,monitor-pod-2,0.5,0.123,8.0,2.891
2024-01-10,cluster-prod-2,payment-service,pay-pod-1,4.0,0.959,8.0,1.948
2024-01-10,cluster-prod-1,payment-service,pay-pod-2,1.5,0.85,0.5,0.386
2024-01-10,cluster-prod-1,payment-service,pay-pod-3,1.5,0.657,0.5,0.173
2024-01-10,cluster-prod-2,user-auth,auth-pod-1,2.0,1.143,1.0,0.665
2024-01-10,cluster-prod-1,user-auth,auth-pod-2,2.0,0.387,0.5,0.126
2024-01-10,cluster-prod-2,product-catalog,catalog-pod-1,0.5,0.322,1.0,0.438
2024-01-10,cluster-prod-2,product-catalog,catalog-pod-2,1.0,0.564,1.0,0.693
2024-01-10,cluster-dev-1,product-catalog,catalog-pod-3,2.0,0.425,2.0,0.549
2024-01-10,cluster-prod-2,order-management,order-pod-1,0.5,0.356,0.5,0.313
2024-01-10,cluster-dev-1,order-management,order-pod-2,2.0,1.262,2.0,0.981
